category,region,distance,time_required,level,course_name,point_number,point_name,long_,lat_
근교산자락길,동작구,0.5km,20분,1,서달산 자락길,983,달마사,126.9624714,37.49857785
근교산자락길,동작구,0.5km,20분,1,서달산 자락길,985,국립서울현충원,126.968111,37.496475
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,977,배봉산 근린공원,127.0637924,37.5810367
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,976,배봉산(제1만남의 광장),127.0677948,37.58919336
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,981,버스정류장(휘경유수지견인차고지앞),127.0685781,37.58839792
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,980,동성빌라,127.0653649,37.58465493
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,979,삼육보건대학교,127.0648718,37.58792479
근교산자락길,동대문구,0.73km,30분,1,배봉산 자락길,978,배봉산연육교,127.068398,37.58872251
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,971,강덕초교,127.1605311,37.55853624
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,970,방죽근린공원,127.1583826,37.55870812
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,969,온조대왕문화체육관,127.157424,37.55661336
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,968,고덕 평생교육관,127.1580126,37.55609649
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,967,지하철 5호선 고덕역 3번출구,127.1558856,37.55526206
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,975,데크로드 진입공간,127.1588413,37.55652689
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,974,샘터근린공원,127.1588524,37.56173945
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,973,광문고등학교,127.1580399,37.55976275
근교산자락길,강동구,0.7km,20분,1,고덕산 자락길,972,고덕중학교,127.1612034,37.55992889
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1408,서빙고역 반포대교 인근,126.9912444,37.51715363
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1409,한남역 인근,127.0063116,37.52790461
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1410,한남역 지하철 중안선,127.0092671,37.52946194
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1411,서빙고역 지하철 중앙선,126.988908,37.51948103
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1412,용산가족공원,126.9827072,37.5207654
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1413,서래섬,126.9895793,37.50771249
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1414,세빛둥둥섬,126.995509,37.51192336
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1415,노들섬,126.9581764,37.51778466
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1404,마포역 지하철 5호선,126.9458321,37.53911714
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1405,마포대교 원효대교 인근,126.9489673,37.53237441
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1406,한강시민공원 이촌지구 인근,126.9597875,37.52096517
한강지천길/계절길,용산구중구,8.45Km,3시간,1,용산한강길,1407,동작대교 인근,126.9755555,37.51554604
한강지천길/계절길,용산구중구,8.13Km,2시간,1,청계천길,1114,마장역 지하철 5호선,127.0431495,37.56599753
